trade_key,signal_time,entry_time,dir,mode,stage,entry,stop,stop_distance,exit_time,exit_price,exit_reason,pnl_points
2026.02.10 17:00:00|S|S2,2026-02-10 17:00:00,2026-02-10 17:00:00,S,post_n3,2,5023.628,5036.814,13.186000000000604,2026-02-10 17:00:00,5036.814,trail/SL hit,-13.186000000000604
2026.02.10 17:00:00|S|S3,2026-02-10 17:00:00,2026-02-10 17:00:00,S,post_n3,3,5023.628,5036.814,13.186000000000604,2026-02-10 17:00:00,5036.814,SL hit,-13.186000000000604
2026.02.12 00:30:00|S|S1,2026-02-12 00:30:00,2026-02-12 00:30:00,S,cross,1,5060.572,5076.064,15.49200000000019,2026-02-12 05:00:00,5076.064,SL hit,-15.49200000000019
2026.02.12 00:30:00|S|S2,2026-02-12 00:30:00,2026-02-12 00:30:00,S,cross,2,5060.572,5076.064,15.49200000000019,2026-02-12 05:00:00,5076.064,trail/SL hit,-15.49200000000019
2026.02.12 00:30:00|S|S3,2026-02-12 00:30:00,2026-02-12 00:30:00,S,cross,3,5060.572,5076.064,15.49200000000019,2026-02-12 05:00:00,5076.064,SL hit,-15.49200000000019
2026.02.12 01:00:00|S|S1,2026-02-12 01:00:00,2026-02-12 01:00:00,S,post_n2,1,5062.944,5072.584,9.639999999999418,2026-02-12 01:00:00,5048.484000000001,1.5R TP,14.459999999999127
2026.02.12 01:00:00|S|S2,2026-02-12 01:00:00,2026-02-12 01:00:00,S,post_n2,2,5062.944,5072.584,9.639999999999418,2026-02-12 02:00:00,5071.509851322927,trail/SL hit,-8.565851322926392
2026.02.12 01:00:00|S|S3,2026-02-12 01:00:00,2026-02-12 01:00:00,S,post_n2,3,5062.944,5072.584,9.639999999999418,2026-02-12 02:00:00,5072.584,SL hit,-9.639999999999418
2026.02.12 01:30:00|S|S1,2026-02-12 01:30:00,2026-02-12 01:30:00,S,post_n3,1,5058.484,5071.51,13.02599999999984,2026-02-12 02:00:00,5071.51,SL hit,-13.02599999999984
2026.02.12 01:30:00|S|S2,2026-02-12 01:30:00,2026-02-12 01:30:00,S,post_n3,2,5058.484,5071.51,13.02599999999984,2026-02-12 02:00:00,5071.51,trail/SL hit,-13.02599999999984
2026.02.12 01:30:00|S|S3,2026-02-12 01:30:00,2026-02-12 01:30:00,S,post_n3,3,5058.484,5071.51,13.02599999999984,2026-02-12 02:00:00,5071.51,SL hit,-13.02599999999984
2026.02.12 02:00:00|S|S1,2026-02-12 02:00:00,2026-02-12 02:00:00,S,post_n4,1,5063.573,5070.905,7.331999999999425,2026-02-12 02:00:00,5070.905,SL hit,-7.331999999999425
2026.02.12 02:00:00|S|S2,2026-02-12 02:00:00,2026-02-12 02:00:00,S,post_n4,2,5063.573,5070.905,7.331999999999425,2026-02-12 02:00:00,5070.905,trail/SL hit,-7.331999999999425
2026.02.12 02:00:00|S|S3,2026-02-12 02:00:00,2026-02-12 02:00:00,S,post_n4,3,5063.573,5070.905,7.331999999999425,2026-02-12 02:00:00,5070.905,SL hit,-7.331999999999425
2026.02.24 04:00:00|S|S1,2026-02-24 04:00:00,2026-02-24 04:00:00,S,post_n2,1,5171.898,5194.035,22.136999999999716,2026-02-24 13:30:00,5138.692500000001,1.5R TP,33.205499999999574
2026.02.24 04:00:00|S|S2,2026-02-24 04:00:00,2026-02-24 04:00:00,S,post_n2,2,5171.898,5194.035,22.136999999999716,2026-02-24 17:00:00,5157.364435671369,trail/SL hit,14.533564328630746
2026.02.24 04:00:00|S|S3,2026-02-24 04:00:00,2026-02-24 04:00:00,S,post_n2,3,5171.898,5194.035,22.136999999999716,2026-02-25 01:30:00,5176.554,M30 merged cross,-4.655999999999949
2026.02.24 04:30:00|S|S1,2026-02-24 04:30:00,2026-02-24 04:30:00,S,post_n3,1,5171.727,5192.313,20.58600000000024,2026-02-24 13:30:00,5140.848,1.5R TP,30.87900000000036
2026.02.24 04:30:00|S|S2,2026-02-24 04:30:00,2026-02-24 04:30:00,S,post_n3,2,5171.727,5192.313,20.58600000000024,2026-02-24 17:00:00,5157.364435671369,trail/SL hit,14.36256432863047
2026.02.24 04:30:00|S|S3,2026-02-24 04:30:00,2026-02-24 04:30:00,S,post_n3,3,5171.727,5192.313,20.58600000000024,2026-02-25 01:30:00,5176.554,M30 merged cross,-4.8270000000002256
2026.02.24 05:00:00|S|S1,2026-02-24 05:00:00,2026-02-24 05:00:00,S,post_n4,1,5168.262,5190.467,22.204999999999927,2026-02-24 13:30:00,5134.9545,1.5R TP,33.30749999999989
2026.02.24 05:00:00|S|S2,2026-02-24 05:00:00,2026-02-24 05:00:00,S,post_n4,2,5168.262,5190.467,22.204999999999927,2026-02-24 17:00:00,5157.364435671369,trail/SL hit,10.897564328630324
2026.02.24 05:00:00|S|S3,2026-02-24 05:00:00,2026-02-24 05:00:00,S,post_n4,3,5168.262,5190.467,22.204999999999927,2026-02-25 01:30:00,5176.554,M30 merged cross,-8.292000000000371
2026.02.25 21:30:00|S|S1,2026-02-25 21:30:00,2026-02-25 21:30:00,S,post_n2,1,5169.196,5188.117,18.921000000000276,2026-02-26 00:30:00,5188.117,SL hit,-18.921000000000276
2026.02.25 21:30:00|S|S2,2026-02-25 21:30:00,2026-02-25 21:30:00,S,post_n2,2,5169.196,5188.117,18.921000000000276,2026-02-26 00:30:00,5188.117,trail/SL hit,-18.921000000000276
2026.02.25 21:30:00|S|S3,2026-02-25 21:30:00,2026-02-25 21:30:00,S,post_n2,3,5169.196,5188.117,18.921000000000276,2026-02-26 00:30:00,5188.117,SL hit,-18.921000000000276
2026.03.03 06:00:00|S|S1,2026-03-03 06:00:00,2026-03-03 06:00:00,S,pre_cross,1,5318.982,5351.402,32.42000000000007,2026-03-03 09:00:00,5270.352,1.5R TP,48.63000000000011
2026.03.03 06:00:00|S|S2,2026-03-03 06:00:00,2026-03-03 06:00:00,S,pre_cross,2,5318.982,5351.402,32.42000000000007,2026-03-03 11:00:00,5189.302,4.0R forced,129.6800000000003
2026.03.03 06:00:00|S|S3,2026-03-03 06:00:00,2026-03-03 06:00:00,S,pre_cross,3,5318.982,5351.402,32.42000000000007,2026-03-04 03:00:00,5162.444,M30 merged cross,156.53799999999956
2026.03.03 06:30:00|S|S1,2026-03-03 06:30:00,2026-03-03 06:30:00,S,cross,1,5316.405,5351.402,34.9970000000003,2026-03-03 09:00:00,5263.9095,1.5R TP,52.49550000000045
2026.03.03 06:30:00|S|S2,2026-03-03 06:30:00,2026-03-03 06:30:00,S,cross,2,5316.405,5351.402,34.9970000000003,2026-03-03 11:00:00,5176.416999999999,4.0R forced,139.9880000000012
2026.03.03 06:30:00|S|S3,2026-03-03 06:30:00,2026-03-03 06:30:00,S,cross,3,5316.405,5351.402,34.9970000000003,2026-03-04 03:00:00,5162.444,M30 merged cross,153.96099999999933
2026.03.03 07:00:00|S|S1,2026-03-03 07:00:00,2026-03-03 07:00:00,S,post_n2,1,5310.31,5343.648,33.33799999999974,2026-03-03 09:00:00,5260.303000000001,1.5R TP,50.00699999999961
2026.03.03 07:00:00|S|S2,2026-03-03 07:00:00,2026-03-03 07:00:00,S,post_n2,2,5310.31,5343.648,33.33799999999974,2026-03-03 11:00:00,5176.958000000001,4.0R forced,133.35199999999895
2026.03.03 07:00:00|S|S3,2026-03-03 07:00:00,2026-03-03 07:00:00,S,post_n2,3,5310.31,5343.648,33.33799999999974,2026-03-04 03:00:00,5162.444,M30 merged cross,147.86599999999999
2026.03.03 07:30:00|S|S1,2026-03-03 07:30:00,2026-03-03 07:30:00,S,post_n3,1,5313.568,5341.327,27.759000000000015,2026-03-03 09:00:00,5271.9295,1.5R TP,41.63850000000002
2026.03.03 07:30:00|S|S2,2026-03-03 07:30:00,2026-03-03 07:30:00,S,post_n3,2,5313.568,5341.327,27.759000000000015,2026-03-03 11:00:00,5202.532,4.0R forced,111.03600000000006
2026.03.03 07:30:00|S|S3,2026-03-03 07:30:00,2026-03-03 07:30:00,S,post_n3,3,5313.568,5341.327,27.759000000000015,2026-03-04 03:00:00,5162.444,M30 merged cross,151.1239999999998
2026.03.03 08:00:00|S|S1,2026-03-03 08:00:00,2026-03-03 08:00:00,S,post_n4,1,5327.358,5340.261,12.903000000000247,2026-03-03 08:30:00,5308.0035,1.5R TP,19.35450000000037
2026.03.03 08:00:00|S|S2,2026-03-03 08:00:00,2026-03-03 08:00:00,S,post_n4,2,5327.358,5340.261,12.903000000000247,2026-03-03 09:00:00,5275.745999999999,4.0R forced,51.61200000000099
2026.03.03 08:00:00|S|S3,2026-03-03 08:00:00,2026-03-03 08:00:00,S,post_n4,3,5327.358,5340.261,12.903000000000247,2026-03-04 03:00:00,5162.444,M30 merged cross,164.91399999999976
2026.03.16 14:00:00|L|S1,2026-03-16 14:00:00,2026-03-16 14:00:00,L,cross,1,5029.494,5008.56,20.933999999999287,2026-03-16 14:30:00,5008.56,SL hit,-20.933999999999287
2026.03.16 14:00:00|L|S2,2026-03-16 14:00:00,2026-03-16 14:00:00,L,cross,2,5029.494,5008.56,20.933999999999287,2026-03-16 14:30:00,5008.56,trail/SL hit,-20.933999999999287
2026.03.16 14:00:00|L|S3,2026-03-16 14:00:00,2026-03-16 14:00:00,L,cross,3,5029.494,5008.56,20.933999999999287,2026-03-16 14:30:00,5008.56,SL hit,-20.933999999999287
2026.03.24 08:30:00|L|S1,2026-03-24 08:30:00,2026-03-24 08:30:00,L,post_n2,1,4396.388,4381.486,14.902000000000044,2026-03-24 09:00:00,4418.741,1.5R TP,22.353000000000065
2026.03.24 08:30:00|L|S2,2026-03-24 08:30:00,2026-03-24 08:30:00,L,post_n2,2,4396.388,4381.486,14.902000000000044,2026-03-24 11:00:00,4394.947598996582,trail/SL hit,-1.440401003417719
2026.03.24 08:30:00|L|S3,2026-03-24 08:30:00,2026-03-24 08:30:00,L,post_n2,3,4396.388,4381.486,14.902000000000044,2026-03-24 11:00:00,4381.486,SL hit,-14.902000000000044
2026.03.24 09:00:00|L|S1,2026-03-24 09:00:00,2026-03-24 09:00:00,L,post_n3,1,4411.761,4383.813,27.94800000000032,2026-03-24 11:00:00,4383.813,SL hit,-27.94800000000032
2026.03.24 09:00:00|L|S2,2026-03-24 09:00:00,2026-03-24 09:00:00,L,post_n3,2,4411.761,4383.813,27.94800000000032,2026-03-24 11:00:00,4383.813,trail/SL hit,-27.94800000000032
2026.03.24 09:00:00|L|S3,2026-03-24 09:00:00,2026-03-24 09:00:00,L,post_n3,3,4411.761,4383.813,27.94800000000032,2026-03-24 11:00:00,4383.813,SL hit,-27.94800000000032
2026.03.24 09:30:00|L|S1,2026-03-24 09:30:00,2026-03-24 09:30:00,L,post_n4,1,4407.18,4385.605,21.575000000000728,2026-03-24 10:30:00,4439.542500000001,1.5R TP,32.36250000000109
2026.03.24 09:30:00|L|S2,2026-03-24 09:30:00,2026-03-24 09:30:00,L,post_n4,2,4407.18,4385.605,21.575000000000728,2026-03-24 11:00:00,4394.947598996582,trail/SL hit,-12.23240100341809
2026.03.24 09:30:00|L|S3,2026-03-24 09:30:00,2026-03-24 09:30:00,L,post_n4,3,4407.18,4385.605,21.575000000000728,2026-03-24 11:00:00,4385.605,SL hit,-21.575000000000728
2026.03.27 04:00:00|L|S1,2026-03-27 04:00:00,2026-03-27 04:00:00,L,post_n2,1,4437.476,4416.581,20.894999999999527,2026-03-27 05:30:00,4468.818499999999,1.5R TP,31.34249999999929
2026.03.27 04:00:00|L|S2,2026-03-27 04:00:00,2026-03-27 04:00:00,L,post_n2,2,4437.476,4416.581,20.894999999999527,2026-03-27 08:30:00,4427.397034982982,trail/SL hit,-10.078965017017254
2026.03.27 04:00:00|L|S3,2026-03-27 04:00:00,2026-03-27 04:00:00,L,post_n2,3,4437.476,4416.581,20.894999999999527,2026-03-27 10:30:00,4416.581,SL hit,-20.894999999999527
2026.03.27 04:30:00|L|S1,2026-03-27 04:30:00,2026-03-27 04:30:00,L,post_n3,1,4434.113,4417.926,16.186999999999898,2026-03-27 05:30:00,4458.3935,1.5R TP,24.280499999999847
2026.03.27 04:30:00|L|S2,2026-03-27 04:30:00,2026-03-27 04:30:00,L,post_n3,2,4434.113,4417.926,16.186999999999898,2026-03-27 08:00:00,4431.5842132399375,trail/SL hit,-2.528786760062758
2026.03.27 04:30:00|L|S3,2026-03-27 04:30:00,2026-03-27 04:30:00,L,post_n3,3,4434.113,4417.926,16.186999999999898,2026-03-27 10:30:00,4417.926,SL hit,-16.186999999999898
2026.03.27 05:00:00|L|S1,2026-03-27 05:00:00,2026-03-27 05:00:00,L,post_n4,1,4446.12,4420.097,26.02300000000014,2026-03-27 10:30:00,4420.097,SL hit,-26.02300000000014
2026.03.27 05:00:00|L|S2,2026-03-27 05:00:00,2026-03-27 05:00:00,L,post_n4,2,4446.12,4420.097,26.02300000000014,2026-03-27 10:30:00,4420.097,trail/SL hit,-26.02300000000014
2026.03.27 05:00:00|L|S3,2026-03-27 05:00:00,2026-03-27 05:00:00,L,post_n4,3,4446.12,4420.097,26.02300000000014,2026-03-27 10:30:00,4420.097,SL hit,-26.02300000000014
