trade_key_x,signal_time_x,entry_time_x,dir_x,mode_x,stage_x,entry,stop,stop_distance,exit_time_x,exit_price,exit_reason,pnl_points,_key,signal_time_y,entry_time_y,dir_y,mode_y,stage_y,open_time,ea_entry,ea_stop,exit_time_y,ea_exit,ea_reason,ea_pnl,pnl_usd,virtual_balance,trade_key_y,_merge,diff_entry,diff_stop,diff_exit_price,diff_pnl_points
2025.08.29 15:30:00|L|S3,2025-08-29 15:30:00,2025-08-29 15:30:00,L,post_n5,3.0,3444.785,3418.211,26.57400000000007,2025-09-02 08:30:00,3477.567,M30 merged cross,32.78200000000015,2025.08.29 15:30:00|L|S3,,,,,,,,,,,,,,,,left_only,,,,
2025.08.29 16:00:00|L|S1,2025-08-29 16:00:00,2025-08-29 16:00:00,L,post_n6,1.0,3445.487,3420.309,25.177999999999884,2025-09-02 01:00:00,3495.843,2.0R TP,50.35599999999977,2025.08.29 16:00:00|L|S1,,,,,,,,,,,,,,,,left_only,,,,
2025.08.29 16:00:00|L|S2,2025-08-29 16:00:00,2025-08-29 16:00:00,L,post_n6,2.0,3445.487,3420.309,25.177999999999884,2025-09-02 06:00:00,3486.006511927568,trail/SL hit,40.51951192756815,2025.08.29 16:00:00|L|S2,,,,,,,,,,,,,,,,left_only,,,,
2025.08.29 16:00:00|L|S3,2025-08-29 16:00:00,2025-08-29 16:00:00,L,post_n6,3.0,3445.487,3420.309,25.177999999999884,2025-09-02 08:30:00,3477.567,M30 merged cross,32.07999999999993,2025.08.29 16:00:00|L|S3,,,,,,,,,,,,,,,,left_only,,,,
2025.09.02 12:00:00|L|S1,2025-09-02 12:00:00,2025-09-02 12:00:00,L,pre_cross,1.0,3489.687,3482.806,6.880999999999858,2025-09-02 12:00:00,3482.806,SL hit,-6.880999999999858,2025.09.02 12:00:00|L|S1,,,,,,,,,,,,,,,,left_only,,,,
2025.09.02 12:00:00|L|S2,2025-09-02 12:00:00,2025-09-02 12:00:00,L,pre_cross,2.0,3489.687,3482.806,6.880999999999858,2025-09-02 12:00:00,3482.806,trail/SL hit,-6.880999999999858,2025.09.02 12:00:00|L|S2,,,,,,,,,,,,,,,,left_only,,,,
2025.09.02 12:00:00|L|S3,2025-09-02 12:00:00,2025-09-02 12:00:00,L,pre_cross,3.0,3489.687,3482.806,6.880999999999858,2025-09-02 12:00:00,3482.806,SL hit,-6.880999999999858,2025.09.02 12:00:00|L|S3,,,,,,,,,,,,,,,,left_only,,,,
2025.09.02 14:00:00|L|S1,2025-09-02 14:00:00,2025-09-02 14:00:00,L,cross,1.0,3489.277,3482.806,6.471000000000004,2025-09-02 14:00:00,3502.219,2.0R TP,12.942000000000007,2025.09.02 14:00:00|L|S1,,,,,,,,,,,,,,,,left_only,,,,
2025.09.02 14:00:00|L|S2,2025-09-02 14:00:00,2025-09-02 14:00:00,L,cross,2.0,3489.277,3482.806,6.471000000000004,2025-09-02 15:00:00,3515.161,4.0R forced,25.88400000000001,2025.09.02 14:00:00|L|S2,,,,,,,,,,,,,,,,left_only,,,,
2025.09.02 14:00:00|L|S3,2025-09-02 14:00:00,2025-09-02 14:00:00,L,cross,3.0,3489.277,3482.806,6.471000000000004,2025-09-04 01:30:00,3546.202,M30 merged cross,56.92500000000018,2025.09.02 14:00:00|L|S3,,,,,,,,,,,,,,,,left_only,,,,
,,,,,,,,,,,,,2025.09.02 14:30:00|BUY|S2,2025.09.02 13:30,2025.09.02 14:30,BUY,cross,2.0,2025.09.02 14:30,3502.171,3482.80608,2025.09.02 14:30,3511.05,M30 merged cross,8.879,8.879,542.06675,2025.09.02 14:30:00|BUY|S2,right_only,,,,
,,,,,,,,,,,,,2025.09.02 14:30:00|BUY|S3,2025.09.02 13:30,2025.09.02 14:30,BUY,cross,3.0,2025.09.02 14:30,3502.171,3482.80608,2025.09.02 14:30,3511.05,M30 merged cross,8.879,13.3185,555.38525,2025.09.02 14:30:00|BUY|S3,right_only,,,,
2025.09.02 14:30:00|L|S1,2025-09-02 14:30:00,2025-09-02 14:30:00,L,post_n2,1.0,3502.171,3485.218,16.952999999999975,2025-09-02 19:00:00,3536.077,2.0R TP,33.90599999999995,2025.09.02 14:30:00|L|S1,,,,,,,,,,,,,,,,left_only,,,,
