signal_bar_idx,entry_bar_idx,mode,dir,signal_time,entry_time,entry,stop,stop_source,stop_distance,planned_cross_idx,planned_exit_idx,exit_time_x,exit,exp_reason,exp_pnl,holding_bars,stop_hit,pnl_usd_001,risk_r,stop_pct_x,entry_time_n,key,entry_ea,stop_ea,stop_pct_y,exit_time_y,exit_price_ea,reason,pnl_ea,pnl_usd,virtual_balance,reason_ea,pnl_diff,entry_diff,exit_diff
6647,6648,cross,S,2023-07-04 06:00:00,2023-07-04 06:00:00,70.033,70.41,prev_segment_sma13_extreme,0.377,6648,6649,2023-07-04 06:00:00,70.41,stop,-0.377,1,True,-0.377,-1.0,0.5383176502505961,2023-07-04 06:00:00,2023-07-04 06:00:00|S,70.033,70.40998,0.538,2023.07.04 06:00,70.40998,SL hit,-0.37698,-6.18355,612.17105,stop,2.0000000000020002e-05,0.0,1.9999999992137418e-05
6794,6795,pre_cross,S,2023-07-20 16:00:00,2023-07-20 16:00:00,75.057,75.364,prev_segment_sma13_extreme,0.307,6916,6917,2023-07-20 16:00:00,75.364,stop,-0.307,1,True,-0.307,-1.0,0.4090224762513822,2023-07-20 16:00:00,2023-07-20 16:00:00|S,75.057,75.36441,0.41,2023.07.20 16:00,75.36441,SL hit,-0.30741,-6.12171,606.04934,stop,0.00041000000000002146,0.0,0.0004100000000022419
6943,6944,pre_cross,S,2023-08-08 02:00:00,2023-08-08 02:00:00,81.602,81.768,prev_segment_sma13_extreme,0.166,6953,6954,2023-08-08 02:00:00,81.768,stop,-0.166,1,True,-0.166,-1.0,0.2034263866081714,2023-08-08 02:00:00,2023-08-08 02:00:00|S,81.602,81.76759,0.203,2023.08.08 02:00,81.76759,SL hit,-0.16559,-6.06049,599.98885,stop,0.00041000000000002146,0.0,0.0004100000000022419
7129,7130,pre_cross,S,2023-08-29 14:00:00,2023-08-29 14:00:00,79.552,79.858,prev_segment_sma13_extreme,0.306,7222,7223,2023-08-29 14:00:00,79.858,stop,-0.306,1,True,-0.306,-1.0,0.3846540627514078,2023-08-29 14:00:00,2023-08-29 14:00:00|S,79.552,79.85798,0.385,2023.08.29 14:00,79.85798,SL hit,-0.30598,-5.99989,593.98896,stop,2.0000000000020002e-05,0.0,2.0000000006348273e-05
7548,7549,pre_cross,S,2023-10-17 16:00:00,2023-10-17 16:00:00,85.062,85.316,prev_segment_sma13_extreme,0.254,7645,7646,2023-10-17 18:00:00,85.316,stop,-0.254,2,True,-0.254,-1.0,0.2986057228844843,2023-10-17 16:00:00,2023-10-17 16:00:00|S,85.062,85.31615,0.299,2023.10.17 18:00,85.31615,SL hit,-0.25415,-5.93989,588.04907,stop,0.00014999999999998348,0.0,0.00014999999999076863
7797,7798,pre_cross,S,2023-11-15 10:00:00,2023-11-15 10:00:00,77.808,78.047,prev_segment_sma13_extreme,0.239,7828,7829,2023-11-15 12:00:00,78.047,stop,-0.239,2,True,-0.239,-1.0,0.3071663582150935,2023-11-15 10:00:00,2023-11-15 10:00:00|S,77.808,78.04735,0.308,2023.11.15 12:00,78.04735,SL hit,-0.23935,-5.88049,582.16858,stop,0.00035000000000001696,0.0,0.00034999999999740794
8111,8112,cross,S,2023-12-21 18:00:00,2023-12-21 18:00:00,73.446,73.905,prev_segment_sma13_extreme,0.459,8113,8114,2023-12-21 18:00:00,73.905,stop,-0.459,1,True,-0.459,-1.0,0.6249489420798955,2023-12-21 18:00:00,2023-12-21 18:00:00|S,73.446,73.9054,0.625,2023.12.21 18:00,73.9054,SL hit,-0.4594,-5.82169,576.34689,stop,0.00039999999999995595,0.0,0.00039999999999906777
8122,8123,pre_cross,S,2023-12-22 16:00:00,2023-12-22 16:00:00,73.799,74.135,prev_segment_sma13_extreme,0.336,8133,8134,2023-12-22 16:00:00,74.135,stop,-0.336,1,True,-0.336,-1.0,0.4552907220965053,2023-12-22 16:00:00,2023-12-22 16:00:00|S,73.799,74.1352,0.456,2023.12.22 16:00,74.1352,SL hit,-0.3362,-5.76347,570.58342,stop,0.00019999999999997797,0.0,0.00019999999999242846
8125,8126,cross,S,2023-12-22 22:00:00,2023-12-25 22:00:00,73.907,74.135,prev_segment_sma13_extreme,0.228,8133,8134,2023-12-26 12:00:00,74.135,stop,-0.228,8,True,-0.228,-1.0,0.3084958123046531,2023-12-25 22:00:00,2023-12-25 22:00:00|S,73.907,74.1352,0.309,2023.12.26 12:00,74.1352,SL hit,-0.2282,-5.70583,564.87759,stop,0.00019999999999997797,0.0,0.00019999999999242846
8554,8555,pre_cross,S,2024-02-14 18:00:00,2024-02-14 18:00:00,76.54,77.199,prev_segment_sma13_extreme,0.659,8567,8568,2024-02-15 14:00:00,77.199,stop,-0.659,11,True,-0.659,-1.0,0.8609877188398223,2024-02-14 18:00:00,2024-02-14 18:00:00|S,76.54,77.19945,0.862,2024.02.15 14:00,77.19945,SL hit,-0.65945,-6.5945,558.28309,stop,0.00044999999999995044,0.0,0.0004500000000007276
