bar_time,close,m30_sma5,m30_sma13,m30_dist%,m30_cross,h2_dist%,h2_dir,signal
2026-06-10 23:00:00,4061.37,4074.181,4112.205,0.9333,NONE,2.0087,BULL,NO_SIGNAL
2026-06-10 23:30:00,4047.261,4068.797,4107.21,0.9441,NONE,2.0087,BULL,NO_SIGNAL
2026-06-11 00:00:00,4067.462,4068.53,4104.152,0.8756,NONE,1.9029,BULL,NO_SIGNAL
2026-06-11 00:30:00,4075.621,4069.948,4101.957,0.7865,NONE,1.9029,BULL,NO_SIGNAL
2026-06-11 01:00:00,4104.635,4076.885,4102.163,0.62,NONE,1.9029,BULL,NO_SIGNAL
2026-06-11 01:30:00,4102.099,4081.928,4102.158,0.4956,NONE,1.9029,BULL,NO_SIGNAL
2026-06-11 02:00:00,4082.595,4082.061,4100.654,0.4555,NONE,1.886,BULL,NO_SIGNAL
2026-06-11 02:30:00,4067.776,4079.204,4098.125,0.4638,NONE,1.886,BULL,NO_SIGNAL
2026-06-11 03:00:00,4063.012,4075.966,4095.424,0.4774,NONE,1.886,BULL,NO_SIGNAL
2026-06-11 03:30:00,4072.736,4075.32,4093.678,0.4505,NONE,1.886,BULL,NO_SIGNAL
2026-06-11 04:00:00,4077.497,4075.755,4092.434,0.4092,NONE,1.7779,BULL,NO_SIGNAL
2026-06-11 04:30:00,4082.758,4077.156,4091.689,0.3565,NONE,1.7779,BULL,NO_SIGNAL
2026-06-11 05:00:00,4074.897,4076.704,4090.398,0.3359,NONE,1.7779,BULL,NO_SIGNAL
2026-06-11 05:30:00,4094.352,4080.234,4090.702,0.2566,NONE,1.7779,BULL,NO_SIGNAL
2026-06-11 06:00:00,4086.785,4081.544,4090.401,0.217,NONE,1.6386,BULL,NO_SIGNAL
2026-06-11 06:30:00,4094.729,4084.181,4090.733,0.1604,NONE,1.6386,BULL,NO_SIGNAL
2026-06-11 07:00:00,4107.367,4088.818,4092.013,0.0781,NONE,1.6386,BULL,NO_SIGNAL
2026-06-11 07:30:00,4104.774,4092.009,4092.995,0.0241,NONE,1.6386,BULL,NO_SIGNAL
2026-06-11 08:00:00,4097.495,4093.106,4093.341,0.0057,NONE,1.5515,BULL,NO_SIGNAL
2026-06-11 08:30:00,4084.495,4091.384,4092.66,0.0312,NONE,1.5515,BULL,NO_SIGNAL
2026-06-11 09:00:00,4079.419,4088.991,4091.642,0.0648,NONE,1.5515,BULL,NO_SIGNAL
2026-06-11 09:30:00,4091.451,4089.483,4091.627,0.0524,NONE,1.5515,BULL,NO_SIGNAL
2026-06-11 10:00:00,4087.787,4089.144,4091.332,0.0535,NONE,1.4971,BULL,NO_SIGNAL
2026-06-11 10:30:00,4089.717,4089.259,4091.208,0.0477,NONE,1.4971,BULL,NO_SIGNAL
2026-06-11 11:00:00,4090.163,4089.439,4091.127,0.0413,NONE,1.4971,BULL,NO_SIGNAL
2026-06-11 11:30:00,4080.436,4087.639,4090.305,0.0652,NONE,1.4971,BULL,NO_SIGNAL
2026-06-11 12:00:00,4069.11,4083.933,4088.674,0.1161,NONE,1.4253,BULL,NO_SIGNAL
