bar_time,close,m30_sma5,m30_sma13,m30_diff,m30_dist%,m30_cross,h2_time,h2_sma5,h2_sma13,h2_diff,h2_dist%,h2_score,h2_dir,h2_cross,h2_tier,decision,lot_mul,skip_reason
2018-01-22 12:00:00,1332.64400,1332.55695,1332.27376,0.28319,0.02126,NONE,2018-01-22 11:30:00,1332.36832,1332.35775,0.01058,0.02069,0.00079,BULL,GOLDEN,T1,SKIP,0.00,no_m30_cross
2018-01-22 12:30:00,1332.12800,1332.47116,1332.26255,0.20861,0.01566,NONE,2018-01-22 11:30:00,1332.36832,1332.35775,0.01058,-0.01804,0.00079,BULL,GOLDEN,T1,SKIP,0.00,no_m30_cross
2018-01-22 13:00:00,1332.82000,1332.54093,1332.30543,0.23550,0.01768,NONE,2018-01-22 11:30:00,1332.36832,1332.35775,0.01058,0.03390,0.00079,BULL,GOLDEN,T1,SKIP,0.00,no_m30_cross
2018-01-22 13:30:00,1333.92500,1332.81774,1332.43001,0.38773,0.02910,NONE,2018-01-22 13:30:00,1332.61646,1332.45400,0.16246,0.09819,0.01219,BULL,NONE,T1,SKIP,0.00,no_m30_cross
2018-01-22 14:00:00,1333.01800,1332.85779,1332.47524,0.38255,0.02871,NONE,2018-01-22 13:30:00,1332.61646,1332.45400,0.16246,0.03013,0.01219,BULL,NONE,T1,SKIP,0.00,no_m30_cross
2018-01-22 14:30:00,1331.86200,1332.65864,1332.42807,0.23057,0.01730,NONE,2018-01-22 13:30:00,1332.61646,1332.45400,0.16246,-0.05661,0.01219,BULL,NONE,T1,SKIP,0.00,no_m30_cross
2018-01-22 15:00:00,1333.60900,1332.84871,1332.51891,0.32980,0.02475,NONE,2018-01-22 13:30:00,1332.61646,1332.45400,0.16246,0.07448,0.01219,BULL,NONE,T1,SKIP,0.00,no_m30_cross
2018-01-22 15:30:00,1334.64200,1333.20737,1332.68222,0.52514,0.03940,NONE,2018-01-22 15:30:00,1332.47477,1332.41200,0.06277,0.16265,0.00471,BULL,NONE,T1,SKIP,0.00,no_m30_cross
2018-01-22 16:00:00,1334.27500,1333.42089,1332.80474,0.61615,0.04623,NONE,2018-01-22 15:30:00,1332.47477,1332.41200,0.06277,0.13510,0.00471,BULL,NONE,T1,SKIP,0.00,no_m30_cross
2018-01-22 16:30:00,1331.79200,1333.09511,1332.72684,0.36827,0.02763,NONE,2018-01-22 15:30:00,1332.47477,1332.41200,0.06277,-0.05124,0.00471,BULL,NONE,T1,SKIP,0.00,no_m30_cross
2018-01-22 17:00:00,1331.90800,1332.85769,1332.66385,0.19384,0.01455,NONE,2018-01-22 15:30:00,1332.47477,1332.41200,0.06277,-0.04253,0.00471,BULL,NONE,T1,SKIP,0.00,no_m30_cross
2018-01-22 17:30:00,1332.02000,1332.69015,1332.61433,0.07583,0.00569,NONE,2018-01-22 17:30:00,1332.40021,1332.38815,0.01206,-0.02854,0.00091,BULL,NONE,T1,SKIP,0.00,no_m30_cross
